scientific_name,description_twi
"Cocos nucifera","Ɛyɛ abɛ dua a ebetumi akɔ mita 20 kosi 30. Akutu tumi sensɛn nsuo so na ɛkɔ so nya nkwa wɔ po nsuo mu abosome pii, enti ɛtumi trɛw ankasa wɔ mpoano; ne nhwiren twetwe nwoawa ne nkoekoemmoa nketewa; akutu no ma akɔre ne mmoa akɛse nya aduan. Kube ho adwuma nyinaa yɛ mfaso: ne nsuo, ngo, ne mu nam yɛ aduan; ne kyɛw yɛ gyabene ne adwinnie; ne ho ntoma yɛ ahoma; ne nhaban yɛ mpuo ne adwinnie; ne dua sen apon; na ne nsuo a wobetwitwa afi mu no yɛ nsa. Wɔde ne nsuo nom hyew apira ho, na ne ngo yɛ aduro ma nwi ne honam ho."
"Codiaeum variegatum","Ɛyɛ dutan a efi India, Malaysia, ne Pacific Islands, na ebetumi akɔ mita 0.5 kosi 3. Ne nhaban a ɛyɛ den no bɔ nkoekoemmoa nketewa ho ban; nhaban kɔla hyerɛn no twetwe nnomaa ba campus turo mu; ne nhwiren twetwe nkoekoemmoa nketewa. Wɔfa no yɛ afɛfɛde a mfaso wɔ so kɛse wɔ turo adwuma mu wiase nyinaa; wɔdua no wɔ Ghana suku, ahɔhoɔdan, ne ayaresabea turo mu sɛ ban dua. ANSƐE: Ne nsuo fufuo de ɔyaw ba honam ne aniwa so."
"Cordyline fruticosa","Ɛyɛ dutan a efi Asia apuei fam ne Pacific Islands, na ebetumi akɔ mita 1 kosi 4. Ne nhwiren twetwe nwoawa ne nkoekoemmoa nketewa; nnomaa di n'aduaba; nhaban no ase a ɛyɛ den bɔ akɔre nketewa ne nkoekoemmoa ho ban. Ne ntini yɛ aduan wɔ Hawaii ne Pacific mmeaɛ bi (sɛ wɔnoa a wodi); ne nhaban nso di dwuma wɔ afahyɛ ne amammerɛ mu wɔ Pacific mmeaɛ pii."
"Delonix regia","Ɛyɛ dua a efi Madagascar, na ebetumi akɔ mita 10 kosi 18, a ne mman trɛw sen ne sorokɔ. Ne nhwiren ma nnomaa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; ne nhwiren sɛnea wɔahyehyɛ no twetwe mmoa akɛse a wɔboa ma afifide nya aba; ne dua atifi te sɛ kyɛw ma nnomaa nya tenabea. Wodua no titiriw sɛ afɛfɛde dua fɛfɛɛfɛ a ne nhwiren kɔkɔɔ-akokɔsraadɛ da adi wɔ osu bere a atwam mu, ɛno na ɛyɛ dua a wohu no ntɛm wɔ Ghana suku ahorow. Wɔ Afrika Atɔe Fam, wɔde ne dua akyi yɛ aduro ma atiridii, na wɔde ntini bɔ nsu ma apɛmuka mu haw."
"Dracaena trifasciata","Ɛyɛ West Africa afifide kakraa bi mu baako, na ebetumi akɔ mita 0.5 kosi 1.5; ne nhaban gyina ntenten te sɛ nkrante firi ne ntini mu. Ne nhwiren ma ntontom nya nhwiren mu nsu anadwo; ɛwɔ Afrika Atɔe Fam kwae mpɔtam a ɛtrɛw mu. NASA nhwehwɛmu kyerɛɛ sɛ ɛyɛ ɔdɔ afifide a eyi mframa mu abɔnwene fi yiye sen biara; ennye nsu pii. Wɔdua no wɔ Ghana adan mu ne mfikyifo turo mu titiriw esiane ne su papa nti. Tete no wɔde ne nhaban yɛ ahoma ne mpre wɔ Afrika Atɔe Fam."
"Duranta erecta","Ɛyɛ dutan a efi Mexico kɔsi Brazil, na ebetumi akɔ mita 2 kosi 6. Ne nhwiren twetwe aboɔpɔnkɔ ne nnomaa nketewa a wɔnom nhwiren mu nsu; n'aduaba a ɛyɛ kɔkɔɔ ne borɔdɔma ma nnomaa ne mmoa nketewa di. Wodua no titiriw sɛ ban afɛfɛde wɔ Ghana suku turo mu; wɔfa mman a ɛyɛ nhaban ahorow no nso yɛ afɛfɛde. ANSƐE: N'aba yɛ awuduru ma nnipa ne mmoa a wɔhwɛ wɔn so; ɛnsɛ sɛ obi di."
"Dypsis lutescens","Ɛyɛ abɛ dua a efi Madagascar, na ebetumi akɔ mita 5 kosi 12, a ne nyin ka bom yɛ akuw. Ne nyin a ɛka bom no ma nnomaa nya baabi yɛ wɔn bere; n'aduaba nketewa nnomaa ne mmoa nketewa di. Wodua no titiriw sɛ afɛfɛde wɔ Ghana suku ne ahɔhoɔdan turo mu, na wɔtɔn no nso sɛ adan mu afifide kɔ amannɔne."
"Elaeis guineensis","Ɛyɛ abɛ dua a efi Guinea kɔsi Angola, na ebetumi akɔ mita 20 kosi 30. N'aduaba akuw nnomaa, apan, ne mmoa a wɔte sɛ mpaninfoɔ di; ne nhaban atifi a ɛyɛ den ma kwae mu mmoa ahorow pii nya tenabea. Abɛ ho adwuma nyinaa yɛ mfaso wɔ Ghana: ne ngo kɔkɔɔ yɛ aduane nnoa ngo titiriw, ne aba mu ngo, ne nhaban yɛ mpuo, ne dua sen apon, na wɔtwitwa ne dua mu nsuo nya nsafufuo. Wɔde abɛ ngo ne nhaban yɛ aduro ma honam apira, na wɔnom nsafufuo no sɛ aduro a ɛma ahoɔden."
"Enterolobium cyclocarpum","Ɛyɛ dua kɛse a efi Mexico kɔsi Venezuela, na ebetumi akɔ mita 25 kosi 35 a ne mman trɛw kɛse. Ne dua atifi kɛse no ma wuram mmoa nya tenabea pii; ne ntini so nkwammoaa boa ma asase nya ahoɔden; n'aba nsina akɛse a ɛte sɛ aso no nnomaa ne mmoa di. Wɔde ne dua sen apon, na n'aba nsina yɛ mmoa aduan ne samina a wɔyɛ no wɔ afikyiri. Wɔ Central America, wɔde ne dua akyi ne aba nsina yɛ aduro ma ahome mu yare ne honam yare."
"Eucalyptus sp.","Ɛyɛ dua a efi Australia, na ebetumi akɔ mita 15 kosi 50 sɛnea n'abusuakuw te. Ne nhwiren no ma nhwiren mu nsu pii na ɛtwetwe nwoawa ne nnomaa wɔ ahorow bi mu; nneɛma bi a ɛwɔ nhaban mu si afifide a ɛyɛ kurom a ɛwɔ dua no ase kwan. Ghana de dua saa yɛ apon adwinnie ne nkrataa mfuo wɔ Brong-Ahafo mpɔtam. Eucalyptus ngo a wɔyi fi nhaban mu no yɛ ade a wɔfa yɛ aduro pii wiase nyinaa; wɔ Ghana, wɔde di ahome mu yare ne honam mu ɔyaw ho dwuma."
"Euphorbia milii","Ɛyɛ dutan a efi Madagascar, na ebetumi akɔ mita 0.5 kosi 1.8. Ne nhwiren te sɛ nhwiren a ɛkɔ so afe mu nyinaa no twetwe nwoawa ne nkoekoemmoa nketewa ma wɔnya nhwiren mu nsu; ɛma afɛfɛde kɔla kɔ so afe mu nyinaa. Esiane ne nsɔe a ɛwɔ ne dua ho nti, wɔfa no yɛ ban wɔ afie ho, na ɛnhia hwɛ pii. ANSƐE: Ne nsuo fufuo de ɔyaw kɛse ba honam ne aniwa so; ɛnsɛ sɛ obi di ne fa biara."
"Ficus benjamina","Ɛyɛ dua a efi Asia anafo fam kɔsi Australia, na ebetumi akɔ mita 10 kosi 25, na sɛ wɔdua no turo mu a, ɛyɛ ketewa. Ne borɔdɔma te sɛ n'aduaba ma nnomaa, apan, ne mmoa a wodi n'aduaba nya aduan; ne dua atifi a ɛyɛ den ma wuram mmoa nya tenabea afe mu nyinaa; nkabom a ɛda fig ne ntɔntɔmma ntam no boa ma ɛnya aba. Wodua no titiriw sɛ afɛfɛde dua wɔ Ghana suku, na wodua no nso wɔ adan mu sɛ ahwɛde afifide. Wɔ Asia, wɔde ne dua akyi ne nhaban yɛ aduro ma atiridii ne ɔyaw."
"Ficus exasperata","Ɛyɛ fig abusua mu dua titiriw a efi Afrika Atɔe Fam, na ebetumi akɔ mita 20 kosi 30. Ne aduaba yɛ aduan a ɛho hia ma nnomaa, apan, ne mmoa a wɔte sɛ mpaninfoɔ; UENR campus nhwehwɛmu akyerɛ sɛ apan pii di n'aba na wɔboa ma ɛtrɛw. Ɛdi kan boa kwae a asɛe so san nyin. Ghana, wɔde nhaban ma mmoa aduan; Nigeria nso, wɔde nhaban boa abɛ ngo ho adwuma. Wɔ Ghana, wɔde nhaban ne dua akyi yɛ aduro ma mogya mmoroso ne yafunu haw; tete no, nhaban no yɛ den te sɛ nkanyare enti wɔde twitwa nnua ho ne hohoro nkuku ho."
"Ficus microcarpa","Ɛyɛ fig abusua mu dua a efi India kɔsi China anafo fam, Asia apuei fam, ne Australia, na ebetumi akɔ mita 15 kosi 25 a ne ntini a ɛsian firi mman mu trɛw kɛse. Ne aduaba yɛ aduan titiriw ma nnomaa, apan, ne mmoa a wodi n'aduaba; ntini a ɛsian fi mman mu no yɛ tenabea nketewa ahorow ma mmoawa. Nkabom a ɛda fig ne ntɔntɔmma ntam no yɛ akwan a afifide de boa ma ɛnya aba a anya nkɔso kɛse wɔ afifide ahenni mu. Ɛyɛ dua titiriw a wodua no wɔ Ghana mmeaɛ pii sɛ abɔntene sunsuma dua, na wɔfa ketewa bi nso yɛ bonsai wɔ adan mu. Wɔ Asia, wɔde ne dua akyi ne nhaban yɛ aduro ma ɔyaw ne atiridii."
"Furcraea foetida","Ɛyɛ afifide a efi Caribbean ne South America atifi fam, na ne nhaban toro trɛw bɛyɛ mita 1 kosi 2, na sɛ ɛreyɛ nhwiren a ne dua betumi akɔ mita 7.5. Ne nhwiren dua ma apan ne nkoekoemmoa akɛse nya nhwiren mu nsu; sɛ ɛyɛ nhwiren wie a, ɛyɛ mma nketewa pii a ɛboa ma ɛtrɛw. Ne nhaban mu ahoma yɛ den, na tete no wɔde yɛ ahoma ne ntoma; nnɛ, wɔdua no titiriw sɛ afɛfɛde wɔ Ghana suku turo mu."
"Gliricidia sepium","Ɛyɛ dua a efi Central America ne Mexico mpoano, na ebetumi akɔ mita 10 kosi 15. Ne ntini so nkwammoaa boa ma asase nya ahoɔden; wɔ ɔpɛ bere a afifide kakraa bi yɛ nhwiren no, ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; mman a wɔatwa no kata asase so na ɛboa ma asase yɛ frɔmfrɔm. Ɛyɛ Ghana dua a wɔdua no sɛ ban ne sunsuma dua ma cocoa titiriw sen biara; wɔde ne nhaban nso yɛ nitrogen a asase hia. Wɔ Ghana, wɔde ne dua akyi kum mmoa a wɔsɛe aduan, na wɔde nhaban gu honam so ma honam yare a mmoawa de ba."
"Gmelina arborea","Ɛyɛ dua a efi India, Myanmar, ne Thailand, na ebetumi akɔ mita 8 kosi 30. Ɛnyin ntɛm na ɛboa nnomaa ne nkoekoemmoa; ne nhwiren twetwe nwoawa ansa na nhaban afi; nhaban a ɛhwe ase no ma asase nya ahoɔden ntɛm. Ɛyɛ Ghana dua a wɔdua no pii ma nkrataa mfuo, nnwinnade, ne adansie; ɛyɛ dua a mfaso wɔ so kɛse wɔ Ghana kwae dua mfuo mu. Wɔ Afrika Atɔe Fam nyinaa, wɔde ne dua akyi, nhaban, ne ntini yɛ aduro ma atiridii ne ɔyaw."
"Griffonia simplicifolia","Ɛyɛ dutan a ɛforo nnua a efi Ghana, Côte d'Ivoire, Nigeria, Togo, ne Cameroon, na ebetumi akɔ mita 2 kosi 4. Wɔahu no wɔ UENR bat sanctuary sɛ afifide a ɛdɔɔso; aba nsina no ma nnomaa ne apan nya aduan; ne nyin a ɛforo nnua no boa kwae a asɛe so san nyin. Ghana yɛ ɔman a odi kan wɔ wiase mu de Griffonia aba ma amanɔne aduro adwuma; aba no yiyi yɛ sika a ɛboa kwae mu nkurɔfoɔ pii. Aba mu nneɛma a wɔyi fi mu no boa nna a ɛmma yiye, awerɛhow, ne obi a ɔnnyɛ n'ani mmoroso; tete nso wɔde di apira ho dwuma."
"Hibiscus rosa-sinensis","Ɛyɛ dutan a efi China ne India, na ebetumi akɔ mita 1 kosi 5. Ne nhwiren akɛse a ɛte sɛ torobɛntɔ twetwe nnomaa, aboɔpɔnkɔ, ne nwoawa; ɛyɛ afɛfɛde afifide a ɛma nkoekoemmoa a wɔboa ma afifide nya aba wɔ campus nya nhwiren mu nsu bebree. Wodua no titiriw sɛ ban dua wɔ Ghana suku mu; ɛyɛ Malaysia man nhwiren, na ɛwɔ afifide foforo mpempem pii a wɔadua afi mu. Wɔ Ghana, wɔde ne nhwiren ne nhaban yɛ aduro ma atiridii; wɔde nso hyɛ tirinwi den, na wɔde di honam yare ho dwuma."
"Ixora coccinea","Ɛyɛ dutan a efi India, Sri Lanka, ne Malaysia, na ebetumi akɔ mita 1 kosi 3. Ne nhwiren a ɛte sɛ kotoku no yɛ nhwiren mu nsu fibea titiriw ma nnomaa, aboɔpɔnkɔ, ne nwoawa; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ne nkoekoemmoa ho ban. Wodua no titiriw sɛ ban afɛfɛde wɔ Ghana suku, ahɔhoɔdan, ne ayaresabea turo mu, efisɛ ne nhwiren kɔ so afe mu nyinaa. Wɔ India, wɔde ntini, nhaban, ne nhwiren yɛ aduro ma yafunu yare ne honam yare."
"Jatropha curcas","Ɛyɛ dutan anaa dua ketewa a efi Mexico ne Central America, na ebetumi akɔ mita 3 kosi 5. Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; ɛyɛ afifide a ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so. Ghana Energy Commission akamfo sɛ wonnua saa dua yi ma biofuel adwuma; Brong-Ahafo mpɔtam na wɔyɛ mmɔdenbɔ pii wɔ ho. ANSƐE: N'aba yɛ awuduru kɛse; sɛ obi di a, ɛde yare kɛse ba; ɛnsɛ sɛ obi di da biara. Wɔde n'aba mu ngo yɛ aduro ma yafunu ne honam yare wɔ Afrika Atɔe Fam."
