Scientific Name,Common Name,English Description (ecological_importance),Current Twi Description,Proposed Twi Description
Azadirachta indica,Neem Tree,"Dense canopy shelters birds and insects; flowers provide nectar for bees; leaf litter enriches soil with nitrogen-containing compounds.","","Ne nhaban atifi a ɛyɛ den bɔ nnomaa ne nkoekoemmoa ho ban; nhwiren no ma nwoawa nya nectar; nhaban a ɛhwe ase no de nneɛma a nitrogen wom ma asase nya ahoɔden."
Bambusa vulgaris,Bamboo,"Dense clumps provide nesting and roosting habitat for birds; bamboo thickets support small mammals and insects; watershed protection in riparian zones.","","Bamboo akuw a ɛyɛ den ma nnomaa nya baabi yɛ wɔn bere na wɔhome; bamboo kwae nketewa boa mmoa nketewa ne nkoekoemmoa; ɛbɔ nsu kwan ho ban wɔ asubɔnten ho."
Blighia sapida,Ackee,"Flowers produce abundant nectar for bees; fruit consumed by birds and bats after natural opening; important native food tree in the Guinean forest zone.","","Nhwiren no ma nwoawa nya nectar pii; sɛ n'aduaba bue ankasa a nnomaa ne anantwi anadwo di; ɛyɛ aduan dua a ɛho hia wɔ Guinea kwae mpɔtam."
Breynia disticha,Snowbush,"Dense foliage provides insect shelter; small flowers attract small bees; compact habit supports ground-level insect communities.","","Ne nhaban a ɛyɛ den bɔ nkoekoemmoa ho ban; nhwiren nketewa no twetwe nwoawa nketewa; ne nyin a ɛyɛ tiawa boa nkoekoemmoa a wɔte asase ho."
Broussonetia papyrifera,Paper Mulberry,"Fleshy red fruit is a major food source for fruit bats and birds; plays a documented role in bat seed dispersal at UENR campus; pioneer species that rapidly colonises disturbed areas.","","N'aduaba kɔkɔɔ a ɛyɛ nam yɛ aduan titiriw ma anantwi anadwo ne nnomaa; wɔahu sɛ ɛboa ma anantwi anadwo trɛw aba wɔ UENR campus; ɛyɛ afifide a edi kan nya baabi a asase asɛe."
Caladium spp.,Caladium,"Minimal wildlife support; mainly ornamental; grown for foliage colour.","","Ɛboa wuram mmoa kakraa bi; wɔdua no titiriw sɛ afɛfɛde, na wɔpɛ no esiane ne nhaban kɔla nti."
Calotropis procera,Apple of Sodom,"Flowers attract monarch butterflies and other pollinators; an important larval host plant for several butterfly species in Ghana.","","Ne nhwiren twetwe monarch aboɔpɔnkɔ ne mmoa a wɔboa ma afifide nya aba; ɛyɛ afifide a aboɔpɔnkɔ ahorow pii wɔ Ghana de wɔn mma nyin so."
Cananga odorata,Ylang-Ylang,"Clusters of black fruit are an important food item for birds; flowers attract moths and other nocturnal pollinators.","","N'aduaba tuntum akuw yɛ aduan a ɛho hia ma nnomaa; ne nhwiren twetwe anadwo ntontom ne mmoa afoforo a wɔboa nhwiren anadwo."
Canna indica,Indian Shot,"Large showy flowers attract hummingbirds and butterflies; provides dense groundcover for insects and small animals.","Akwaaba! UENR Flora yɛ application a ɛboa wo ma wohu afifide ahorow a ɛwɔ University of Energy and Natural Resources.","Ne nhwiren akɛse a ɛyɛ fɛ twetwe nnomaa nketewa a wɔwe nectar ne aboɔpɔnkɔ; ne nhaban a ɛkata asase so ma nkoekoemmoa ne mmoa nketewa nya tenabea."
Carica papaya,Pawpaw,"Fast-growing pioneer providing rapid canopy cover; flowers attract bees and hawkmoths; fruit feeds birds and bats.","","Ɛnyin ntɛm na ɛkata asase so ntɛm; ne nhwiren twetwe nwoawa ne ntontom akɛse; n'aduaba ma nnomaa ne anantwi anadwo di."
Casuarina equisetifolia,Casuarina,"Nitrogen-fixing symbiosis with Frankia soil bacteria enriches poor soils; pioneer on bare, sandy, and degraded land; provides habitat for seed-eating birds.","","Ne nkabom ne Frankia bacteria a ɛwɔ asase mu ma asase a ɛyɛ mmɔbɔ nya ahoɔden; ɛdi kan nyin wɔ asase kwa, anhwea ne asase a asɛe so; ɛma nnomaa a wodi aba nya tenabea."
Cedrela odorata,Spanish Cedar,"Fast-growing canopy tree that supports birds and epiphytes; provides significant wildlife habitat.","","Ɛyɛ dua a ɛnyin ntɛm na ne nhaban atifi ma nnomaa ne epiphytes nya mmoa; ɛma wuram mmoa nya tenabea a ɛho hia."
Cereus repandus,Peruvian Apple Cactus,"Nocturnal flowers attract moths and bats for pollination; fleshy red-purple fruit consumed by birds, bats, and mammals.","","Ne nhwiren a ɛbue anadwo twetwe ntontom ne anantwi anadwo ma wɔboa ma ɛnya aba; n'aduaba kɔkɔɔ-purple a ɛyɛ nam no nnomaa, anantwi anadwo ne mmoa di."
Citrus sinensis,Orange,"Flowers attract bees and butterflies as important pollinators; fruit consumed by birds aiding seed dispersal.","","Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ a wɔboa ma afifide nya aba; n'aduaba nnomaa di, na ɛboa ma aba trɛw."
Cocos nucifera,Coconut Palm,"Coconuts float and remain viable in seawater for months, enabling natural dispersal across coastlines; flowers attract bees and small insects; fruit consumed by crabs and large mammals.","","Koko nsuo so na ɛkɔ so nya nkwa wɔ po nsuo mu abosome, enti ɛtrɛw ankasa wɔ mpoano; nhwiren no twetwe nwoawa ne nkoekoemmoa nketewa; akutu no akutu ne mmoa akɛse di."
Codiaeum variegatum,Croton,"Dense foliage provides cover for small insects; bright foliage attracts birds to campus gardens; flowers attract small insects.","","Ne nhaban a ɛyɛ den kata nkoekoemmoa nketewa ho; nhaban kɔla hyerɛn no twetwe nnomaa ba campus turo mu; nhwiren no twetwe nkoekoemmoa nketewa."
Cordyline fruticosa,Ti Plant,"Flowers attract bees and small insects; fruit eaten by birds; dense leaf base provides shelter for small lizards and insects.","","Nhwiren no twetwe nwoawa ne nkoekoemmoa nketewa; nnomaa di n'aduaba; nhaban no ase a ɛyɛ den bɔ akɔre nketewa ne nkoekoemmoa ho ban."
Delonix regia,Flamboyant,"Flowers provide abundant nectar for sunbirds and butterflies; flower structure attracts large pollinators; umbrella-shaped crown provides habitat for birds.","","Nhwiren no ma sunbirds ne aboɔpɔnkɔ nya nectar pii; nhwiren no nsusuwso twetwe mmoa akɛse a wɔboa nhwiren; ne dua atifi te sɛ kyɛw ma nnomaa nya tenabea."
Dracaena trifasciata,Bowstring Hemp,"One of the few native West African plants on this list; flowers provide nocturnal nectar for moths; native range includes the broader West African forest zone.","","Ɛyɛ West Africa afifide kakraa bi mu baako wɔ saa din yi mu; ne nhwiren ma ntontom nya nectar anadwo; ne mpɔtam a ɛyɛ kurom ne West Africa kwae mpɔtam."
Duranta erecta,Golden Dewdrop,"Flowers attract butterflies and hummingbirds; yellow-orange berries provide food for birds and small mammals.","","Nhwiren no twetwe aboɔpɔnkɔ ne nnomaa nketewa a wɔwe nectar; n'aduaba kɔkɔɔyɛɛ ma nnomaa ne mmoa nketewa di."
Dypsis lutescens,Golden Cane Palm,"Dense clumping habit provides nesting sites for birds; small fruits consumed by birds and small mammals.","","Ne nyin a ɛka bom ma nnomaa nya baabi yɛ wɔn bere; n'aduaba nketewa nnomaa ne mmoa nketewa di."
Elaeis guineensis,African Oil Palm,"Fruit bunches consumed by birds, bats, and primates; the dense frond canopy provides habitat for many forest species; historically a foundational species in West African forest-savannah mosaics.","","N'aduaba akuw nnomaa, anantwi anadwo ne primates di; ne nhaban atifi a ɛyɛ den ma kwae mu mmoa ahorow pii nya tenabea; efi tete no ɛyɛ afifide titiriw wɔ West Africa kwae ne savanna afrafra mu."
Enterolobium cyclocarpum,Elephant Ear Tree,"Massive canopy tree providing extensive wildlife habitat; nitrogen-fixing; large ear-shaped pods consumed by birds and mammals.","","Ne dua atifi kɛse no ma wuram mmoa nya tenabea pii; ɛkyekye nitrogen; n'aba nsina a ɛte sɛ aso akɛse nnomaa ne mmoa di."
Eucalyptus sp.,Eucalyptus,"Flowers produce abundant nectar attracting bees and birds in some species; allelopathic compounds in leaves suppress native understorey vegetation around the tree base.","","Nhwiren no ma nectar pii na ɛtwetwe nwoawa ne nnomaa wɔ ahorow bi mu; nneɛma a ɛwɔ nhaban mu si afifide a ɛyɛ kurom a ɛwɔ dua no ase kwan."
Euphorbia milii,Christ Plant,"Year-round flower-like bracts attract butterflies and small insects for nectar; provides continuous ornamental colour.","","Ne nhwiren te sɛ nhwiren a ɛkɔ so afe mu nyinaa twetwe aboɔpɔnkɔ ne nkoekoemmoa nketewa ma wɔnya nectar; ɛma afɛfɛde kɔla kɔ so."
Ficus benjamina,Weeping Fig,"Figs provide food for birds, bats, and fruit-eating mammals; dense canopy provides year-round wildlife habitat; fig-wasp mutualism pollination system.","","Ne figs ma nnomaa, anantwi anadwo ne mmoa a wodi n'aduaba nya aduan; ne nhaban atifi a ɛyɛ den ma wuram mmoa nya tenabea afe mu nyinaa; fig-wasp nkabom boa ma ɛnya aba."
Ficus exasperata,Sandpaper Tree,"Keystone fig species; figs provide critical food for birds, bats, and primates; documented in UENR campus bat dispersal study (6.6% of bat-dispersed seeds, Agyei-Ohemeng et al. 2016); pioneer in secondary forest regeneration.","","Ɛyɛ fig afifide titiriw; ne figs yɛ aduan a ɛho hia ma nnomaa, anantwi anadwo ne primates; UENR campus nhwehwɛmu kyerɛ sɛ ɛyɛ bat-dispersed aba no 6.6% (Agyei-Ohemeng et al. 2016); ɛdi kan boa kwae a ɛsan nyin."
Ficus microcarpa,Chinese Banyan,"Figs are a keystone food resource for birds, bats, and fruit-eating mammals; aerial roots create complex microhabitats; fig-wasp mutualism is one of the most evolved pollination systems in the plant kingdom.","","Ne figs yɛ aduan titiriw ma nnomaa, anantwi anadwo ne mmoa a wodi n'aduaba; ntini a ɛsian fi mman mu yɛ tenabea nketewa ahorow; fig-wasp nkabom yɛ nhwiren boa aba a wɔanya nkɔso paa wɔ afifide ahenni mu."
Furcraea foetida,False Agave,"Flowering stalk provides nectar for bats and large insects; produces abundant bulbils (plantlets) after flowering for vegetative dispersal.","","Ne nhwiren dua ma anantwi anadwo ne nkoekoemmoa akɛse nya nectar; sɛ ɛyɛ nhwiren wie a ɛyɛ bulbils (afifide nketewa) pii ma ɛtrɛw wɔ afifide kwan so."
Gliricidia sepium,Gliricidia,"Nitrogen-fixing root nodules enrich soil; flowers attract bees and butterflies during dry season when few plants flower; pollarded branches mulch soil.","","Ne ntini so nodules ma asase nya nitrogen; wɔ ɔpɛ bere a afifide kakraa bi yɛ nhwiren no, ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; mman a wɔatwa no kata asase so ma ɛyɛ mulch."
Gmelina arborea,Gmelina,"Fast-growing pioneer tree that supports birds and insects; flowers attract bees before leaf emergence; fallen leaves enrich soil rapidly.","","Ɛyɛ dua a ɛnyin ntɛm na ɛboa nnomaa ne nkoekoemmoa; nhwiren no twetwe nwoawa ansa na nhaban afi; nhaban a ɛhwe ase ma asase nya ahoɔden ntɛm."
Griffonia simplicifolia,Griffonia,"Documented in UENR bat sanctuary (9.3% of all individuals per Owusu-Prempeh et al. 2018); seed pods provide food for birds and bats; woody climbing habit contributes to secondary forest structure.","","Wɔakyerɛw ne ho wɔ UENR bat sanctuary (ɛyɛ nnua no 9.3% sɛnea Owusu-Prempeh et al. 2018 kyerɛ); aba nsina ma nnomaa ne anantwi anadwo nya aduan; ne nyin a ɛforo dua boa kwae a ɛsan nyin no nhyehyɛe."
Hibiscus rosa-sinensis,Chinese Hibiscus,"Large trumpet flowers attract sunbirds, butterflies, and bees; one of the most important ornamental nectar sources for campus pollinators.","","Nhwiren akɛse a ɛte sɛ torobɛntɔ twetwe sunbirds, aboɔpɔnkɔ ne nwoawa; ɛyɛ afɛfɛde afifide a ɛma campus pollinators nya nectar no mu baako a ɛho hia paa."
Ixora coccinea,Jungle Flame,"Tubular flowers are major nectar source for sunbirds, butterflies, and bees; dense foliage provides shelter for small birds and insects.","","Ne nhwiren a ɛte sɛ kotoku yɛ nectar fibea titiriw ma sunbirds, aboɔpɔnkɔ ne nwoawa; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ne nkoekoemmoa ho ban."
Jatropha curcas,Barbados Nut,"Flowers attract bees and butterflies; fast-growing pioneer that colonises degraded land rapidly.","","Nhwiren no twetwe nwoawa ne aboɔpɔnkɔ; ɛyɛ afifide a ɛnyin ntɛm na ɛkɔtra asase a asɛe so ntɛm."
Lagerstroemia speciosa,Giant Crape-Myrtle,"Flowers provide abundant nectar for bees and butterflies during the rainy season peak; semi-deciduous habit creates seasonal leaf litter enriching soil.","","Bere a osu bere du ne mpɔtam no, nhwiren no ma nwoawa ne aboɔpɔnkɔ nya nectar pii; nhaban no hwe ase mmɔhoɔ ma nhaban a ɛhwe ase ma asase nya ahoɔden."
Leucaena leucocephala,Leucaena,"Nitrogen-fixing root nodules enrich soil; fast-growing pioneer that rapidly colonises disturbed ground; reported nitrogen fixation rates up to 500 kg N/ha/year in optimal conditions.","","Ne ntini so nodules ma asase nya nitrogen; ɛnyin ntɛm na ɛtra asase a asɛe so; wɔabɔ amanneɛ sɛ sɛ tebea yɛ papa a ɛkyekye nitrogen kodu 500 kg N/ha/year."
Mangifera indica,Mango Tree,"Fruit feeds birds and fruit bats; canopy shelters campus wildlife.","","N'aduaba ma nnomaa ne anantwi anadwo di; ne nhaban atifi bɔ campus wuram mmoa ho ban."
Manihot esculenta,Cassava,"Fast-growing pioneer that stabilises bare soil; root zone supports diverse soil microbiome; one of the most drought-hardy staple crops globally.","","Ɛnyin ntɛm na ɛma asase kwa gyina pintinn; ne ntini mpɔtam boa asase mu mmoa nketewa ahorow; ɛyɛ nnɔbae a etumi gyina ɔpɛ ano paa wɔ wiase."
Mimosa pudica,Sensitive Plant,"Flowers attract small bees; sprawling pioneer that colonises disturbed ground; nitrogen-fixing root nodules.","","Nhwiren no twetwe nwoawa nketewa; ɛtrɛw fam na ɛdi kan kɔ asase a asɛe so; ne ntini so nodules kyekye nitrogen."
Monoon longifolium,Mast Tree,"Tall columnar form provides vertical structure in campus ecosystems; birds and small insects use canopy for nesting and roosting.","","Ne tenten a ɛte sɛ dua tuntum ma campus ecosystem nya nhyehyɛe a ɛforo soro; nnomaa ne nkoekoemmoa nketewa de ne nhaban atifi yɛ wɔn bere ne ahomegyebea."
Moringa oleifera,Moringa,"Flowers rich in nectar attract bees and butterflies; fast-growing pioneer that provides rapid canopy cover.","","Nhwiren a nectar wom pii twetwe nwoawa ne aboɔpɔnkɔ; ɛnyin ntɛm na ɛkata asase so ntɛm."
Musa × paradisiaca,Plantain,"Leaves and decaying pseudo-stems form microhabitats for insects and soil fauna; flower nectar attracts birds and bats.","","Nhaban ne dua ntam a ɛporɔw yɛ tenabea nketewa ma nkoekoemmoa ne asase mu mmoa; nhwiren nectar twetwe nnomaa ne anantwi anadwo."
Nerium oleander,Oleander,"Flowers attract butterflies and bees despite the plant’s toxicity; provides dense evergreen screening.","","Ɛwom sɛ afifide no yɛ awuduru de, ne nhwiren twetwe aboɔpɔnkɔ ne nwoawa; ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa yɛ ɔkwan kata ade so."
Newbouldia laevis,Newbouldia,"Dominant species in UENR bat sanctuary (19.4% of all individuals per Owusu-Prempeh et al. 2018); flowers attract sunbirds and bees; fast-growing pioneer in secondary forest succession.","","Ɛyɛ afifide a ɛdɔɔso paa wɔ UENR bat sanctuary (19.4% sɛnea Owusu-Prempeh et al. 2018 kyerɛ); ne nhwiren twetwe sunbirds ne nwoawa; ɛnyin ntɛm na ɛdi kan wɔ kwae a ɛsan nyin mu."
Persea americana,Avocado,"Flowers attract bees for pollination; large fleshy fruit historically dispersed by now-extinct megafauna; today dispersed by humans.","","Nhwiren no twetwe nwoawa ma wɔboa ma ɛnya aba; mmoa akɛse a wɔawie wɔn ase trɛw n'aduaba a ɛyɛ nam no wɔ tete; nnɛ nnipa na wɔtrɛw no."
Platycladus orientalis,Oriental Arborvitae,"Dense evergreen foliage provides year-round shelter for small birds; seeds eaten by some bird species.","","Ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa bɔ nnomaa nketewa ho ban afe mu nyinaa; nnomaa bi di ne aba."
Plumeria pudica,Hammerleaf Frangipani,"Fragrant flowers attract moths and butterflies for pollination; everblooming habit provides a consistent year-round nectar source.","","Ne nhwiren a ɛyɛ huam twetwe ntontom ne aboɔpɔnkɔ ma wɔboa ma ɛnya aba; ɛyɛ nhwiren afe mu nyinaa na ɛma nectar ba daa."
Polyscias fruticosa,Ming Aralia,"Small bees and flies pollinate the inconspicuous flowers; dark purple-black drupes eaten by birds when produced.","","Nwoawa nketewa ne nwansena boa ma nhwiren a ɛntwetwe ani no nya aba; sɛ ɛyɛ n'aduaba purple tuntum a nnomaa di."
Pongamia pinnata,Pongame Oil Tree,"Flowers provide abundant nectar for bees; wide spreading canopy provides habitat for birds; nitrogen-fixing root nodules enrich soil.","","Nhwiren no ma nwoawa nya nectar pii; ne dua atifi a ɛtrɛw ma nnomaa nya tenabea; ne ntini so nodules ma asase nya nitrogen."
Ricinus communis,Castor Oil Plant,"Fast-growing pioneer colonizer of disturbed soils; seeds dispersed explosively when pods dry; provides rapid cover for bare ground.","","Ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so; sɛ aba nsina wu a, ɛtow aba no gu ntɛm; ɛkata asase kwa so ntɛm."
Senna siamea,Siamese Cassia,"Flowers provide nectar for bees and butterflies during the dry season; documented in UENR bat sanctuary (Owusu-Prempeh et al. 2018), supporting campus wildlife diversity.","","Ɔpɛ bere mu no ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nectar; wɔahu no wɔ UENR bat sanctuary (Owusu-Prempeh et al. 2018), na ɛboa campus wuram mmoa ahorow."
Solanum torvum,Turkey Berry,"Flowers attract bees; fruit consumed by birds aiding seed dispersal; pioneer coloniser of disturbed ground.","","Nhwiren no twetwe nwoawa; nnomaa di n'aduaba na ɛboa ma aba trɛw; ɛdi kan kɔ asase a asɛe so."
Spathodea campanulata,African Tulip Tree,"Large showy flowers provide abundant nectar for sunbirds, hornbills, and butterflies; water collecting in ampule-shaped flower buds is used by tree frogs and insects. CAUTION: nectar toxic to some bee species.","","Nhwiren akɛse a ɛyɛ fɛ ma sunbirds, hornbills ne aboɔpɔnkɔ nya nectar pii; nsuo a ɛboaboa ano wɔ nhwiren aba a ɛte sɛ ampule mu no tree frogs ne nkoekoemmoa de di dwuma. ANSƐE: nectar no yɛ awuduru ma nwoawa ahorow bi."
Sphagneticola trilobata,Creeping Daisy,"Flowers attract small bees and butterflies; forms dense mats that exclude native groundcover species. Classified by IUCN as one of the world’s 100 worst invasive alien species.","","Nhwiren no twetwe nwoawa nketewa ne aboɔpɔnkɔ; ɛyɛ ntama a ɛyɛ den kata asase so na ɛma afifide a ɛyɛ kurom ntumi nyin. IUCN akyerɛ sɛ ɛyɛ wiase afifide a ɛyɛ amannɔne a ɛtrɛw bɔne no 100 no mu baako."
Syzygium jambos,Rose Apple,"Cream pom-pom flowers attract bees and butterflies; fruit consumed by birds and bats aiding seed dispersal.","","Ne nhwiren cream a ɛte sɛ pom-pom twetwe nwoawa ne aboɔpɔnkɔ; nnomaa ne anantwi anadwo di n'aduaba na ɛboa ma aba trɛw."
Syzygium myrtifolium,Red Eugenia,"Attracts bees and butterflies with its flowers; dense foliage provides shelter for small birds.","","Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ho ban."
Tectona grandis,Teak Tree,"Provides nesting sites for birds and insects; teak plantations in Ghana's Brong-Ahafo support soil biodiversity and act as wildlife corridors.","","Ɛma nnomaa ne nkoekoemmoa nya baabi yɛ wɔn bere; teak plantations wɔ Ghana Brong-Ahafo boa asase mu mmoa ahorow na ɛyɛ akwan a wuram mmoa fa so."
Terminalia catappa,Tropical Almond,"Fruit consumed by birds, bats, and mammals aiding dispersal; dense tiered canopy provides layered wildlife habitat.","","Nnomaa, anantwi anadwo ne mmoa di n'aduaba na ɛboa ma ɛtrɛw; ne nhaban atifi a ɛyɛ afam ma wuram mmoa nya tenabea ahorow."
Terminalia mantaly,Madagascar Almond,"Distinctive horizontal tiered branching provides nesting sites for birds; provides structured shade below each canopy layer.","","Ne mman a ɛyɛ afam a ɛtrɛw kɔ nkyɛn ma nnomaa nya baabi yɛ wɔn bere; nhaban atifi biara ase ma sunsuma a wɔahyehyɛ."
Tetrapleura tetraptera,Aidan Tree,"Native canopy tree that supports birds, bats, and insects; flowers attract pollinators; fruit consumed by birds and bats.","","Ɛyɛ kurom dua a ne nhaban atifi boa nnomaa, anantwi anadwo ne nkoekoemmoa; nhwiren no twetwe mmoa a wɔboa ma ɛnya aba; nnomaa ne anantwi anadwo di n'aduaba."
Tradescantia pallida,Purple Heart,"Low-growing groundcover protects soil surface from erosion; flowers attract small bees.","","Ɛnyin fam na ɛkata asase so bɔ asase ani ho ban fi nsuo a ɛkɔfa no; nhwiren no twetwe nwoawa nketewa."
Tradescantia spathacea,Oyster Plant,"Forms dense low groundcover mats; minimal direct wildlife support; compact habit suppresses weeds effectively.","","Ɛyɛ ntama a ɛyɛ den kata asase so fam; ɛboa wuram mmoa kakraa bi pɛ; ne nyin a ɛyɛ tiawa si nwura kwan yiye."
Vitex trifolia,Indian Vitex,"Flowers attract bees and butterflies; salt-tolerant habit supports coastal vegetation belts; leaves provide food for some butterfly caterpillars.","","Nhwiren no twetwe nwoawa ne aboɔpɔnkɔ; etumi gyina nkyene ano na ɛboa mpoano afifide; nhaban no ma aboɔpɔnkɔ mma bi nya aduan."
Voacanga africana,Voacanga,"Small canopy tree of secondary forest margins; flowers attract pollinators; fruit consumed by birds and bats supporting seed dispersal.","","Ɛyɛ dua ketewa a ɛwɔ kwae a ɛsan nyin ano; nhwiren no twetwe mmoa a wɔboa ma ɛnya aba; nnomaa ne anantwi anadwo di n'aduaba na ɛboa ma aba trɛw."
Zea mays,Maize,"Pollen feeds a wide range of insects; dry stalks provide shelter for small animals and insects during the dry season.","","Ne pollen ma nkoekoemmoa ahorow pii nya aduan; bere a ɛyɛ ɔpɛ no, dua a ayow no bɔ mmoa nketewa ne nkoekoemmoa ho ban."
