Scientific Name,Common Name,English Description,Final Twi Description,Review Note
Duranta erecta,Golden Dewdrop,Flowers attract butterflies and hummingbirds; yellow-orange berries provide food for birds and small mammals.,Ne nhwiren twetwe aboɔpɔnkɔ ne nnomaa nketewa a wɔnom nhwiren mu nsu; n'aduaba a ɛyɛ kɔkɔɔ ne borɔdɔma ma nnomaa ne mmoa nketewa di.,Natural colour phrasing.
Dypsis lutescens,Golden Cane Palm,Dense clumping habit provides nesting sites for birds; small fruits consumed by birds and small mammals.,Ne nyin a ɛka bom no ma nnomaa nya baabi yɛ wɔn bere; n'aduaba nketewa nnomaa ne mmoa nketewa di.,Cleaned wording.
Elaeis guineensis,African Oil Palm,"Fruit bunches consumed by birds, bats, and primates; the dense frond canopy provides habitat for many forest species; historically a foundational species in West African forest-savannah mosaics.","N'aduaba akuw nnomaa, anantwi anadwo ne mmoa a wɔte sɛ mpaninfoɔ di; ne nhaban atifi a ɛyɛ den ma kwae mu mmoa ahorow pii nya tenabea; efi tete no ɛyɛ afifide titiriw wɔ West Africa kwae ne savanna afrafra mu.",Avoided the ambiguous English “primates” with a descriptive phrase.
Enterolobium cyclocarpum,Elephant Ear Tree,Massive canopy tree providing extensive wildlife habitat; nitrogen-fixing; large ear-shaped pods consumed by birds and mammals.,Ne dua atifi kɛse no ma wuram mmoa nya tenabea pii; ɛboa ma nitrogen kɔ asase mu; n'aba nsina akɛse a ɛte sɛ aso no nnomaa ne mmoa di.,Naturalized technical wording.
Eucalyptus sp.,Eucalyptus,Flowers produce abundant nectar attracting bees and birds in some species; allelopathic compounds in leaves suppress native understorey vegetation around the tree base.,Nhwiren no ma nhwiren mu nsu pii na ɛtwetwe nwoawa ne nnomaa wɔ ahorow bi mu; nneɛma bi a ɛwɔ nhaban mu si afifide a ɛyɛ kurom a ɛwɔ dua no ase kwan.,Preserved allelopathic effect without inventing a technical Twi term.
Euphorbia milii,Christ Plant,Year-round flower-like bracts attract butterflies and small insects for nectar; provides continuous ornamental colour.,Ne nhwiren te sɛ nhwiren a ɛkɔ so afe mu nyinaa no twetwe aboɔpɔnkɔ ne nkoekoemmoa nketewa ma wɔnya nhwiren mu nsu; ɛma afɛfɛde kɔla kɔ so afe mu nyinaa.,Improved spoken flow.
Ficus benjamina,Weeping Fig,"Figs provide food for birds, bats, and fruit-eating mammals; dense canopy provides year-round wildlife habitat; fig-wasp mutualism pollination system.","Ne borɔdɔma te sɛ n'aduaba ma nnomaa, anantwi anadwo ne mmoa a wodi n'aduaba nya aduan; ne dua atifi a ɛyɛ den ma wuram mmoa nya tenabea afe mu nyinaa; nkabom a ɛda fig ne wasp ntam no boa ma ɛnya aba.",Preserved mutualism concept descriptively.
Ficus exasperata,Sandpaper Tree,"Keystone fig species; figs provide critical food for birds, bats, and primates; documented in UENR campus bat dispersal study (6.6% of bat-dispersed seeds, Agyei-Ohemeng et al. 2016); pioneer in secondary forest regeneration.","Ɛyɛ fig afifide titiriw; ne aduaba yɛ aduan a ɛho hia ma nnomaa, anantwi anadwo ne mmoa a wɔte sɛ mpaninfoɔ; UENR campus nhwehwɛmu kyerɛ sɛ ɛyɛ 6.6% wɔ aba a anantwi anadwo trɛw mu (Agyei-Ohemeng et al. 2016); ɛdi kan boa kwae a ɛsan nyin.",Preserved the 6.6% study result and citation.
Ficus microcarpa,Chinese Banyan,"Figs are a keystone food resource for birds, bats, and fruit-eating mammals; aerial roots create complex microhabitats; fig-wasp mutualism is one of the most evolved pollination systems in the plant kingdom.","Ne aduaba yɛ aduan titiriw ma nnomaa, anantwi anadwo ne mmoa a wodi n'aduaba; ntini a ɛsian fi mman mu no yɛ tenabea nketewa ahorow; nkabom a ɛda fig ne wasp ntam no yɛ akwan a afifide de boa ma ɛnya aba a anya nkɔso kɛse wɔ afifide ahenni mu.",Descriptive translation of technical concepts.
Furcraea foetida,False Agave,Flowering stalk provides nectar for bats and large insects; produces abundant bulbils (plantlets) after flowering for vegetative dispersal.,"Ne nhwiren dua ma anantwi anadwo ne nkoekoemmoa akɛse nya nhwiren mu nsu; sɛ ɛyɛ nhwiren wie a, ɛyɛ bulbils, anaa afifide nketewa, pii a ɛboa ma ɛtrɛw.",Kept “bulbils” with explanation rather than inventing a term.
Gliricidia sepium,Gliricidia,Nitrogen-fixing root nodules enrich soil; flowers attract bees and butterflies during dry season when few plants flower; pollarded branches mulch soil.,"Ne ntini so nkwammoaa a ɛboa ma nitrogen kɔ asase mu no ma asase nya ahoɔden; wɔ ɔpɛ bere a afifide kakraa bi yɛ nhwiren no, ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; mman a wɔatwa no kata asase so na ɛboa ma asase yɛ fɛ.",Removed unexplained English “mulch”.
Gmelina arborea,Gmelina,Fast-growing pioneer tree that supports birds and insects; flowers attract bees before leaf emergence; fallen leaves enrich soil rapidly.,Ɛyɛ dua a ɛnyin ntɛm na ɛboa nnomaa ne nkoekoemmoa; ne nhwiren twetwe nwoawa ansa na nhaban afi; nhaban a ɛhwe ase no ma asase nya ahoɔden ntɛm.,Clean spoken phrasing.
Griffonia simplicifolia,Griffonia,Documented in UENR bat sanctuary (9.3% of all individuals per Owusu-Prempeh et al. 2018); seed pods provide food for birds and bats; woody climbing habit contributes to secondary forest structure.,Wɔakyerɛw ne ho wɔ UENR bat sanctuary sɛ ɛyɛ nnua no 9.3% (sɛnea Owusu-Prempeh et al. 2018 kyerɛ); aba nsina no ma nnomaa ne anantwi anadwo nya aduan; ne nyin a ɛforo nnua no boa kwae a ɛsan nyin no nhyehyɛe.,Preserved 9.3% and citation.
Hibiscus rosa-sinensis,Chinese Hibiscus,"Large trumpet flowers attract sunbirds, butterflies, and bees; one of the most important ornamental nectar sources for campus pollinators.","Ne nhwiren akɛse a ɛte sɛ torobɛntɔ twetwe nnomaa, aboɔpɔnkɔ ne nwoawa; ɛyɛ afɛfɛde afifide a ɛma nkoekoemmoa a wɔboa ma afifide nya aba wɔ campus nya nhwiren mu nsu no mu baako a ɛho hia paa.",Removed unexplained “sunbirds”.
Ixora coccinea,Jungle Flame,"Tubular flowers are major nectar source for sunbirds, butterflies, and bees; dense foliage provides shelter for small birds and insects.","Ne nhwiren a ɛte sɛ kotoku no yɛ nhwiren mu nsu fibea titiriw ma nnomaa, aboɔpɔnkɔ ne nwoawa; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ne nkoekoemmoa ho ban.",Cleaned “nectar source” wording.
Jatropha curcas,Barbados Nut,Flowers attract bees and butterflies; fast-growing pioneer that colonises degraded land rapidly.,Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; ɛyɛ afifide a ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so.,Good spoken form.
Lagerstroemia speciosa,Giant Crape-Myrtle,Flowers provide abundant nectar for bees and butterflies during the rainy season peak; semi-deciduous habit creates seasonal leaf litter enriching soil.,"Bere a osu bere no du ne mpɔtam no, ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; nhaban no hwe ase wɔ mmere bi mu na ɛboa ma asase nya ahoɔden.",Simplified “semi-deciduous” descriptively.
Leucaena leucocephala,Leucaena,Nitrogen-fixing root nodules enrich soil; fast-growing pioneer that rapidly colonises disturbed ground; reported nitrogen fixation rates up to 500 kg N/ha/year in optimal conditions.,Ne ntini so nkwammoaa a ɛboa ma nitrogen kɔ asase mu no ma asase nya ahoɔden; ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so; wɔabɔ amanneɛ sɛ sɛ tebea yɛ papa a ɛkyekye nitrogen kodu 500 kg N/ha afe biara.,Preserved quantitative claim.
Mangifera indica,Mango Tree,Fruit feeds birds and fruit bats; canopy shelters campus wildlife.,N'aduaba ma nnomaa ne anantwi anadwo di; ne dua atifi bɔ campus wuram mmoa ho ban.,Cleaned phrasing.
Manihot esculenta,Cassava,Fast-growing pioneer that stabilises bare soil; root zone supports diverse soil microbiome; one of the most drought-hardy staple crops globally.,Ɛnyin ntɛm na ɛboa ma asase kwa gyina pintinn; ne ntini mpɔtam boa asase mu mmoa nketewa ahorow; ɛyɛ aduan nnɔbae a etumi gyina ɔpɛ ano paa wɔ wiase.,Preserved microbiome concept descriptively.
Mimosa pudica,Sensitive Plant,Flowers attract small bees; sprawling pioneer that colonises disturbed ground; nitrogen-fixing root nodules.,Ne nhwiren twetwe nwoawa nketewa; ɛtrɛw fam na ɛdi kan kɔ asase a asɛe so; ne ntini so nkwammoaa boa ma nitrogen kɔ asase mu.,Technical term simplified.
Monoon longifolium,Mast Tree,Tall columnar form provides vertical structure in campus ecosystems; birds and small insects use canopy for nesting and roosting.,Ne tenten a ɛte sɛ dua a ne mu yɛ teateaa no ma campus afifide ne mmoa mpɔtam nya nhyehyɛe a ɛforo soro; nnomaa ne nkoekoemmoa nketewa de ne dua atifi yɛ wɔn bere na wɔhome.,Cleaned “ecosystem” phrasing.
Moringa oleifera,Moringa,Flowers rich in nectar attract bees and butterflies; fast-growing pioneer that provides rapid canopy cover.,Ne nhwiren a nhwiren mu nsu wom pii twetwe nwoawa ne aboɔpɔnkɔ; ɛnyin ntɛm na ɛkata asase so ntɛm.,Natural spoken phrasing.
Musa × paradisiaca,Plantain,Leaves and decaying pseudo-stems form microhabitats for insects and soil fauna; flower nectar attracts birds and bats.,Nhaban ne dua ntam a ɛporɔw no yɛ tenabea nketewa ma nkoekoemmoa ne asase mu mmoa; nhwiren mu nsu twetwe nnomaa ne anantwi anadwo.,Cleaned “pseudo-stem” descriptively.
Nerium oleander,Oleander,Flowers attract butterflies and bees despite the plant’s toxicity; provides dense evergreen screening.,"Ɛwom sɛ afifide no yɛ awuduru de, ne nhwiren twetwe aboɔpɔnkɔ ne nwoawa; ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa kata ade so.",Natural spoken form.
Newbouldia laevis,Newbouldia,Dominant species in UENR bat sanctuary (19.4% of all individuals per Owusu-Prempeh et al. 2018); flowers attract sunbirds and bees; fast-growing pioneer in secondary forest succession.,"Ɛyɛ afifide a ɛdɔɔso paa wɔ UENR bat sanctuary, na ɛyɛ nnua no 19.4% (sɛnea Owusu-Prempeh et al. 2018 kyerɛ); ne nhwiren twetwe nnomaa ne nwoawa; ɛnyin ntɛm na ɛdi kan wɔ kwae a ɛsan nyin mu.",Preserved 19.4% and citation.
Persea americana,Avocado,Flowers attract bees for pollination; large fleshy fruit historically dispersed by now-extinct megafauna; today dispersed by humans.,"Ne nhwiren twetwe nwoawa ma wɔboa ma ɛnya aba; tete no, mmoa akɛse a wɔn ase atɔre na wɔtrɛw n'aduaba a ɛyɛ nam no; nnɛ nnipa na wɔtrɛw no.",Preserved historical distinction.
Platycladus orientalis,Oriental Arborvitae,Dense evergreen foliage provides year-round shelter for small birds; seeds eaten by some bird species.,Ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa bɔ nnomaa nketewa ho ban afe mu nyinaa; nnomaa bi di ne aba.,Good spoken form.
Plumeria pudica,Hammerleaf Frangipani,Fragrant flowers attract moths and butterflies for pollination; everblooming habit provides a consistent year-round nectar source.,Ne nhwiren a ɛyɛ huam twetwe ntontom ne aboɔpɔnkɔ ma wɔboa ma ɛnya aba; ɛyɛ nhwiren afe mu nyinaa na ɛma nhwiren mu nsu ba daa.,Cleaned wording.
Polyscias fruticosa,Ming Aralia,Small bees and flies pollinate the inconspicuous flowers; dark purple-black drupes eaten by birds when produced.,"Nwoawa nketewa ne nwansena boa ma nhwiren a ɛnyɛ fɛ kɛse no nya aba; sɛ n'aduaba tuntum a ɛyɛ kɔkɔɔ-tuntum ba a, nnomaa di.",Improved colour wording.
Pongamia pinnata,Pongame Oil Tree,Flowers provide abundant nectar for bees; wide spreading canopy provides habitat for birds; nitrogen-fixing root nodules enrich soil.,Ne nhwiren ma nwoawa nya nhwiren mu nsu pii; ne dua atifi a ɛtrɛw ma nnomaa nya tenabea; ne ntini so nkwammoaa boa ma nitrogen kɔ asase mu.,Technical term simplified.
Ricinus communis,Castor Oil Plant,Fast-growing pioneer colonizer of disturbed soils; seeds dispersed explosively when pods dry; provides rapid cover for bare ground.,"Ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so; sɛ aba nsina no wu na ɛyow a, ɛma aba no tu fi mu gu ntɛm; ɛkata asase kwa so ntɛm.",Preserved seed-dispersal mechanism descriptively.
Senna siamea,Siamese Cassia,"Flowers provide nectar for bees and butterflies during the dry season; documented in UENR bat sanctuary (Owusu-Prempeh et al. 2018), supporting campus wildlife diversity.","Ɔpɛ bere mu no, ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu; wɔahu no wɔ UENR bat sanctuary (Owusu-Prempeh et al. 2018), na ɛboa ma campus wuram mmoa ahorow dɔɔso.",Preserved citation and ecological claim.
Solanum torvum,Turkey Berry,Flowers attract bees; fruit consumed by birds aiding seed dispersal; pioneer coloniser of disturbed ground.,Ne nhwiren twetwe nwoawa; nnomaa di n'aduaba na ɛboa ma aba trɛw; ɛdi kan kɔ asase a asɛe so.,Good spoken form.
Spathodea campanulata,African Tulip Tree,"Large showy flowers provide abundant nectar for sunbirds, hornbills, and butterflies; water collecting in ampule-shaped flower buds is used by tree frogs and insects. CAUTION: nectar toxic to some bee species.","Ne nhwiren akɛse a ɛyɛ fɛ ma nnomaa, nnomaa akɛse ne aboɔpɔnkɔ nya nhwiren mu nsu pii; nsuo a ɛboaboa ano wɔ nhwiren aba a ɛte sɛ toa nketewa mu no tree frogs ne nkoekoemmoa de di dwuma. ANSƐE: nhwiren mu nsu no yɛ awuduru ma nwoawa ahorow bi.",Kept the caution prominent; retained “tree frogs” because no safe local equivalent was established.
Sphagneticola trilobata,Creeping Daisy,Flowers attract small bees and butterflies; forms dense mats that exclude native groundcover species. Classified by IUCN as one of the world’s 100 worst invasive alien species.,Ne nhwiren twetwe nwoawa nketewa ne aboɔpɔnkɔ; ɛyɛ ntama a ɛyɛ den kata asase so na ɛma afifide a ɛyɛ kurom ntumi nyin. IUCN akyerɛ sɛ ɛyɛ wiase afifide amannɔne a ɛtrɛw bɔne no 100 no mu baako.,Preserved IUCN classification.
Syzygium jambos,Rose Apple,Cream pom-pom flowers attract bees and butterflies; fruit consumed by birds and bats aiding seed dispersal.,Ne nhwiren a ɛyɛ cream na ɛte sɛ pom-pom twetwe nwoawa ne aboɔpɔnkɔ; nnomaa ne anantwi anadwo di n'aduaba na ɛboa ma aba trɛw.,Kept familiar descriptive colour term.
Syzygium myrtifolium,Red Eugenia,Attracts bees and butterflies with its flowers; dense foliage provides shelter for small birds.,Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ho ban.,Good as-is.
Tectona grandis,Teak Tree,Provides nesting sites for birds and insects; teak plantations in Ghana's Brong-Ahafo support soil biodiversity and act as wildlife corridors.,Ɛma nnomaa ne nkoekoemmoa nya baabi yɛ wɔn bere; teak plantations wɔ Ghana Brong-Ahafo boa asase mu mmoa ahorow na ɛyɛ akwan a wuram mmoa fa so.,Preserved Brong-Ahafo reference.
Terminalia catappa,Tropical Almond,"Fruit consumed by birds, bats, and mammals aiding dispersal; dense tiered canopy provides layered wildlife habitat.","Nnomaa, anantwi anadwo ne mmoa di n'aduaba na ɛboa ma aba no trɛw; ne dua atifi a ɛyɛ afam-afam ma wuram mmoa nya tenabea ahorow.",Naturalized tiered-canopy description.
Terminalia mantaly,Madagascar Almond,Distinctive horizontal tiered branching provides nesting sites for birds; provides structured shade below each canopy layer.,Ne mman a ɛyɛ afam-afam na ɛtrɛw kɔ nkyɛn no ma nnomaa nya baabi yɛ wɔn bere; nhaban atifi biara ase ma sunsuma a wɔahyehyɛ.,Cleaned phrasing.
Tetrapleura tetraptera,Aidan Tree,"Native canopy tree that supports birds, bats, and insects; flowers attract pollinators; fruit consumed by birds and bats.","Ɛyɛ kurom dua a ne dua atifi boa nnomaa, anantwi anadwo ne nkoekoemmoa; ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa ne anantwi anadwo di n'aduaba.",Cleaned wording.
Tradescantia pallida,Purple Heart,Low-growing groundcover protects soil surface from erosion; flowers attract small bees.,"Ɛnyin fam na ɛkata asase so, na ɛbɔ asase ani ho ban fi nsuo a ɛkɔfa dɔteɛ; ne nhwiren twetwe nwoawa nketewa.",Improved erosion wording.
Tradescantia spathacea,Oyster Plant,Forms dense low groundcover mats; minimal direct wildlife support; compact habit suppresses weeds effectively.,Ɛyɛ ntama a ɛyɛ den kata asase so fam; ɛboa wuram mmoa kakraa bi pɛ; ne nyin a ɛyɛ tiawa si nwura kwan yiye.,Good spoken form.
Vitex trifolia,Indian Vitex,Flowers attract bees and butterflies; salt-tolerant habit supports coastal vegetation belts; leaves provide food for some butterfly caterpillars.,Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; etumi gyina nkyene ano na ɛboa mpoano afifide; nhaban no ma aboɔpɔnkɔ mma bi nya aduan.,Cleaned grammar.
Voacanga africana,Voacanga,Small canopy tree of secondary forest margins; flowers attract pollinators; fruit consumed by birds and bats supporting seed dispersal.,Ɛyɛ dua ketewa a ɛwɔ kwae a ɛsan nyin ano; ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa ne anantwi anadwo di n'aduaba na ɛboa ma aba trɛw.,Natural spoken form.
Zea mays,Maize,Pollen feeds a wide range of insects; dry stalks provide shelter for small animals and insects during the dry season.,"Ne pollen ma nkoekoemmoa ahorow pii nya aduan; bere a ɛyɛ ɔpɛ no, dua a ayow no bɔ mmoa nketewa ne nkoekoemmoa ho ban.",Kept familiar botanical term “pollen”.
